category,name,description,serial,production_date,price,currency,authorised,in_stock,compatible_brands,digitallyTracked,obsolete,customFabricated,limitedEdition,safetyCritical,ecoFriendly,hazardousMaterial,recalled
Cooling & HVAC System,A/C Compressor 095,Compresses refrigerant for air conditioning.,FQS-C5B5-A7DE-BC72,2017-07-19,1350.84,GBP,True,True,"WV,Mecentley,Feramborghini,Nord,BMV",True,True,True,True,True,False,True,True
Cooling & HVAC System,Radiator Cap 742,Generic Radiator Cap,FQS-9E92-C584-D473,2019-06-11,1980.55,GBP,True,True,"Mecentley,BMV,WV,Nord",True,False,False,False,True,False,True,True
Cooling & HVAC System,Thermostat Housing 309,Encases the thermostat.,FQS-D6F7-1C00-8907,2019-02-08,775.94,GBP,True,True,"Mecentley,Feramborghini,Nord,BMV,WV",True,True,True,True,False,False,False,True
Cooling & HVAC System,Thermostat 521,Regulates engine coolant temperature.,FQS-4D0C-C898-F79B,2016-06-28,1681.36,GBP,False,False,"Feramborghini,BMV,Mecentley,Nord",True,True,True,True,False,True,False,True
Cooling & HVAC System,A/C Lines 810,Generic A/C Lines,FQS-3DA8-0AE3-3C4C,2019-12-16,137.57,GBP,False,True,"WV,Nord,Feramborghini,Mecentley",True,True,True,False,False,False,False,True
Cooling & HVAC System,Radiator Hoses 759,Generic Radiator Hoses,FQS-2530-5A2C-73F9,2019-03-15,345.76,GBP,True,True,"Mecentley,BMV,Nord,Feramborghini,WV",False,True,False,False,False,False,False,False
Cooling & HVAC System,Cooling Fan 074,Generic Cooling Fan,FQS-67EB-BC0C-A3E1,2015-05-31,1799.4,GBP,True,False,BMV,True,False,False,False,True,True,False,True
Cooling & HVAC System,Expansion Valve 623,Generic Expansion Valve,FQS-63F5-B4BE-5DD3,2015-03-25,846.92,GBP,True,True,"Feramborghini,WV,Nord,BMV,Mecentley",False,True,False,True,True,False,True,True
Cooling & HVAC System,A/C Dryer 678,Removes moisture from refrigerant.,FQS-E716-2633-5579,2015-11-16,815.86,GBP,True,True,"Mecentley,WV,Feramborghini,BMV",True,True,False,True,True,True,True,True
Cooling & HVAC System,Cooling Fan 740,Generic Cooling Fan,FQS-1931-E670-3B75,2024-06-25,1041.86,GBP,True,True,"BMV,Nord,Mecentley,Feramborghini,WV",True,True,True,True,True,True,False,True
Cooling & HVAC System,A/C Condenser 943,Generic A/C Condenser,FQS-017E-86B2-A8C1,2018-02-13,935.73,GBP,False,True,"BMV,WV,Nord,Mecentley,Feramborghini",True,True,False,True,True,True,True,False
Cooling & HVAC System,A/C Lines 310,Generic A/C Lines,FQS-0652-1A8A-63AF,2015-03-12,1069.98,GBP,False,True,Feramborghini,False,False,True,True,True,True,True,True
Cooling & HVAC System,Heater Core 867,Heats cabin air using engine coolant.,FQS-0B0C-CEF4-FCAE,2017-04-03,1191.92,GBP,True,True,"Nord,Feramborghini,WV,Mecentley,BMV",False,True,False,True,False,False,False,False
Cooling & HVAC System,A/C Compressor 738,Compresses refrigerant for air conditioning.,FQS-40E6-252E-F525,2020-10-16,819.43,GBP,True,True,"WV,BMV",True,False,False,True,True,False,False,True
Cooling & HVAC System,A/C Compressor 719,Compresses refrigerant for air conditioning.,FQS-822A-8866-6458,2019-04-10,886.56,GBP,True,False,BMV,True,False,False,False,True,False,True,False
Cooling & HVAC System,A/C Lines 783,Transport refrigerant.,FQS-61AF-CA0F-CD6B,2020-04-21,195.49,GBP,True,True,"Mecentley,Feramborghini,Nord,WV",True,False,True,False,True,False,True,False
Cooling & HVAC System,Heater Core 402,Generic Heater Core,FQS-C7FC-315C-DEB9,2021-03-02,1928.52,GBP,False,True,"BMV,WV,Nord,Mecentley",False,True,True,False,False,True,False,True
Cooling & HVAC System,A/C Lines 865,Generic A/C Lines,FQS-84BA-747D-ABA7,2025-05-20,1367.27,GBP,True,True,BMV,False,False,True,False,False,True,True,True
Cooling & HVAC System,Expansion Valve 625,Controls refrigerant flow.,FQS-31A1-6C28-E1FC,2024-02-17,1437.49,GBP,True,True,"Feramborghini,BMV,WV",True,True,False,False,True,False,False,False
Cooling & HVAC System,Radiator Cap 040,Seals radiator and maintains pressure.,FQS-E59E-38A0-2FCF,2019-03-01,764.39,GBP,True,False,Nord,False,False,True,True,True,False,False,True
Cooling & HVAC System,Thermostat 739,Regulates engine coolant temperature.,FQS-E360-AA66-F531,2020-05-02,1473.56,GBP,True,False,BMV,True,False,True,True,False,False,True,True
Cooling & HVAC System,Water Pump 386,Circulates coolant through engine.,FQS-7076-C365-493C,2021-07-17,565.51,GBP,True,True,"WV,Nord,Feramborghini,Mecentley",True,False,False,True,False,True,True,True
Cooling & HVAC System,Radiator 923,Generic Radiator,FQS-CCCD-11F6-F094,2018-01-06,430.16,GBP,False,True,"WV,Feramborghini,Nord",True,True,True,True,False,False,True,True
Cooling & HVAC System,Heater Blower Motor 461,Generic Heater Blower Motor,FQS-E0C1-AE8C-94D9,2021-07-26,709.83,GBP,False,True,"Feramborghini,BMV",True,True,False,False,False,False,True,True
Cooling & HVAC System,Expansion Valve 353,Generic Expansion Valve,FQS-C675-F9E8-C286,2025-05-08,1055.96,GBP,True,True,"BMV,Mecentley,WV",True,False,True,True,True,True,False,False
Cooling & HVAC System,Radiator Cap 951,Seals radiator and maintains pressure.,FQS-684B-B21E-E000,2020-01-08,566.17,GBP,True,True,"WV,BMV,Nord,Feramborghini",True,True,True,False,True,False,True,False
Cooling & HVAC System,A/C Compressor 596,Compresses refrigerant for air conditioning.,FQS-3D7E-BE29-5198,2018-05-03,1377.04,GBP,True,True,"WV,BMV,Feramborghini",True,True,False,True,True,False,False,False
Cooling & HVAC System,Radiator 550,Dissipates heat from engine coolant.,FQS-D6D0-9D58-BAEB,2020-06-24,1097.47,GBP,True,False,Nord,False,True,True,False,True,True,True,False
Cooling & HVAC System,Heater Blower Motor 787,Generic Heater Blower Motor,FQS-9222-53AA-E776,2022-06-02,1716.55,GBP,True,True,"Nord,WV",True,True,False,True,False,True,True,True
Cooling & HVAC System,Radiator 508,Dissipates heat from engine coolant.,FQS-EBED-9D6C-5D5E,2019-12-31,258.6,GBP,True,True,BMV,True,False,True,False,True,True,True,False
Cooling & HVAC System,Radiator Hoses 205,Generic Radiator Hoses,FQS-D277-96A8-9367,2021-01-07,500.42,GBP,True,True,"Feramborghini,BMV,Nord,Mecentley",True,True,True,True,True,False,True,True
Cooling & HVAC System,A/C Condenser 858,Generic A/C Condenser,FQS-AE8E-6007-E053,2018-03-10,1205.67,GBP,True,True,WV,False,False,True,True,False,True,False,False
Cooling & HVAC System,Radiator Hoses 950,Carry coolant to and from radiator.,FQS-B2C6-1F2E-21B5,2019-03-12,1463.94,GBP,True,True,"BMV,Feramborghini,Nord,Mecentley,WV",False,True,False,False,True,True,False,True
Cooling & HVAC System,Thermostat Housing 454,Generic Thermostat Housing,FQS-3E85-C79F-39A6,2025-10-08,1576.47,GBP,True,True,BMV,True,True,False,True,True,True,True,True
Cooling & HVAC System,Radiator Cap 028,Seals radiator and maintains pressure.,FQS-3F74-D094-51FC,2016-11-05,491.65,GBP,True,True,"Nord,Feramborghini,BMV,Mecentley",True,True,True,True,True,True,True,True
Cooling & HVAC System,Thermostat Housing 118,Encases the thermostat.,FQS-4426-6122-A050,2019-11-16,159.53,GBP,False,True,"BMV,Nord",True,True,True,False,True,False,True,False
Cooling & HVAC System,Heater Blower Motor 321,Generic Heater Blower Motor,FQS-AF8E-F9A7-D799,2024-05-18,1194.27,GBP,True,False,"Feramborghini,WV,Mecentley",False,True,False,True,False,True,False,True
Cooling & HVAC System,Radiator Cap 640,Generic Radiator Cap,FQS-8AD3-FAAA-33A3,2023-04-23,191.96,GBP,True,True,BMV,False,True,True,True,False,True,True,True
Cooling & HVAC System,A/C Compressor 469,Compresses refrigerant for air conditioning.,FQS-6790-030C-7F17,2021-11-28,224.87,GBP,True,True,Mecentley,False,True,False,True,False,True,True,False
Cooling & HVAC System,Heater Core 243,Generic Heater Core,FQS-6781-2B63-24DE,2020-12-18,1869.97,GBP,True,True,BMV,True,True,True,False,False,False,False,True
Cooling & HVAC System,Heater Core 950,Heats cabin air using coolant.,FQS-C42B-2E6A-37F8,2016-05-20,297.51,GBP,False,True,"Feramborghini,BMV,Nord,Mecentley",False,True,True,False,True,True,True,True
Cooling & HVAC System,Thermostat 123,Generic Thermostat,FQS-5602-8E8D-1019,2023-11-09,1985.46,GBP,True,True,"Feramborghini,WV",False,True,True,False,False,False,False,True
Cooling & HVAC System,Thermostat 315,Regulates engine coolant temperature.,FQS-6D3F-2787-A2FA,2020-06-13,718.42,GBP,True,True,"BMV,Mecentley,WV",True,True,True,True,False,True,True,True
