category,name,description,serial,productionDate,price,currency,authorised,inStock,compatibleBrands,limitedEdition,safetyCritical,hazardousMaterial
Transmission System,Gearbox RIH,Changes vehicle speed and torque.,IFAT-34AC-737C-FF79,2023-09-22,1232.86,EUR,True,True,"WV,BMV",False,False,False
Transmission System,Differential BT3,Distributes engine torque to drive wheels.,IFAT-C9FD-7ED8-20A6,2024-03-13,629.98,EUR,True,True,Mecentley,True,False,True
Transmission System,Drive Shaft 4M7,Generic Drive Shaft,IFAT-61F7-FF68-8F28,2022-02-10,944.6,EUR,False,True,"BMV,WV,Mecentley,Feramborghini",True,True,False
Transmission System,Pressure Plate XE9,Generic Pressure Plate,IFAT-33D5-AAB8-3782,2025-08-28,310.17,EUR,False,False,"Nord,Feramborghini,WV,BMV",False,False,True
Transmission System,Clutch Slave Cylinder PAB,Generic Clutch Slave Cylinder,IFAT-4339-781D-A10B,2016-06-21,1113.16,EUR,True,False,"WV,BMV,Feramborghini,Nord",True,True,False
Transmission System,Transmission Mount FM0,Generic Transmission Mount,IFAT-F3D7-FFFD-A116,2017-02-18,1776.17,EUR,True,True,"BMV,Nord,WV",True,True,False
Transmission System,Flywheel 3NV,Generic Flywheel,IFAT-479D-C4E5-CCC7,2024-05-27,858.74,EUR,True,True,"WV,Feramborghini,Mecentley",True,False,False
Transmission System,Synchromesh Gears WEX,Generic Synchromesh Gears,IFAT-311D-0B21-9BBD,2018-06-13,1813.86,EUR,True,True,BMV,True,True,False
Transmission System,Drive Shaft W38,Transfers torque from transmission to wheels.,IFAT-F609-E13A-EFE3,2015-02-25,111.91,EUR,True,True,"Nord,Feramborghini",True,False,False
Transmission System,Drive Shaft JDJ,Transfers torque from transmission to wheels.,IFAT-77B4-4BB9-5DEE,2023-01-06,1795.15,EUR,True,True,Feramborghini,True,True,False
Transmission System,Shift Linkage 5DQ,Generic Shift Linkage,IFAT-84D1-1439-A5A3,2020-03-24,514.65,EUR,True,True,"Nord,Mecentley,BMV,Feramborghini,WV",True,True,True
Transmission System,Transmission Cooler RBU,Generic Transmission Cooler,IFAT-E151-2A20-8612,2023-07-30,1690.15,EUR,True,False,WV,True,True,True
Transmission System,Transmission 800,Transfers power from engine to wheels.,IFAT-B427-0812-FDD9,2021-06-05,1160.06,EUR,True,True,"WV,Mecentley",True,False,False
Transmission System,Clutch Plate MAH,Engages and disengages power to transmission.,IFAT-A63E-7FCA-00E6,2016-03-16,88.18,EUR,True,True,BMV,False,True,True
Transmission System,Gearbox ACC,Changes vehicle speed and torque.,IFAT-8D5D-8896-32D8,2017-05-20,290.03,EUR,True,True,Mecentley,False,False,False
Transmission System,Gearbox 2RW,Generic Gearbox,IFAT-EBD7-CD7F-9433,2023-11-05,151.33,EUR,True,False,"BMV,Feramborghini",True,True,True
Transmission System,Gearbox JC4,Generic Gearbox,IFAT-F595-1EA3-32EF,2020-08-22,255.94,EUR,False,True,"Nord,WV,Feramborghini,Mecentley",True,True,True
Transmission System,Clutch Slave Cylinder KMI,Generic Clutch Slave Cylinder,IFAT-6EE8-4937-556A,2016-12-01,309.02,EUR,False,True,"WV,Nord",False,False,False
Transmission System,Drive Shaft IHJ,Generic Drive Shaft,IFAT-130F-86C6-C0C1,2016-05-02,1579.95,EUR,True,False,"Feramborghini,WV,Mecentley",True,False,True
Transmission System,Flywheel KN6,Generic Flywheel,IFAT-15A4-4A4C-D7C5,2017-08-24,769.64,EUR,True,True,"Mecentley,WV,Feramborghini,BMV,Nord",True,True,False
Transmission System,Transmission TU9,Transfers power from engine to wheels.,IFAT-27E0-8490-11B0,2023-09-23,896.77,EUR,True,True,"WV,Feramborghini,Nord,BMV",True,False,False
Transmission System,Gearbox AJ5,Changes vehicle speed and torque.,IFAT-42AD-1699-C007,2021-02-23,1837.9,EUR,True,True,"Mecentley,Feramborghini,Nord,BMV,WV",False,True,True
Transmission System,Clutch Plate FDN,Generic Clutch Plate,IFAT-2322-DDE5-A344,2022-02-28,948.42,EUR,True,True,Feramborghini,True,False,False
Transmission System,CV Joints 92I,Generic CV Joints,IFAT-4105-7CE2-9AC3,2020-05-13,1995.26,EUR,True,True,"Feramborghini,BMV,Mecentley",True,True,True
Transmission System,Clutch Master Cylinder F05,Generic Clutch Master Cylinder,IFAT-0940-6F63-B041,2022-03-28,1483.24,EUR,True,True,"Nord,BMV,Mecentley,Feramborghini",True,True,False
Transmission System,Clutch Plate DFY,Generic Clutch Plate,IFAT-A73B-D64A-D405,2021-10-20,1552.41,EUR,True,True,Mecentley,True,True,False
Transmission System,Clutch Plate UDD,Engages and disengages power to transmission.,IFAT-40F1-7161-5868,2020-07-19,1177.61,EUR,True,True,"BMV,Nord",False,False,False
Transmission System,Clutch Slave Cylinder D31,Generic Clutch Slave Cylinder,IFAT-2BF7-CBC8-2D84,2017-08-18,681.57,EUR,True,True,"WV,Mecentley",False,True,False
Transmission System,Differential ORC,Generic Differential,IFAT-96C7-C624-F236,2021-04-02,25.4,EUR,True,True,"Feramborghini,Mecentley,Nord,BMV,WV",True,False,True
Transmission System,CV Joints PMQ,Generic CV Joints,IFAT-0752-6441-5DD7,2015-10-18,1580.0,EUR,False,True,"Mecentley,Feramborghini",False,False,False
Transmission System,Transmission Cooler WWX,Generic Transmission Cooler,IFAT-C3C0-6B07-68E8,2024-09-16,1130.66,EUR,True,True,"Mecentley,Feramborghini",True,False,True
Transmission System,Torque Converter C3B,Generic Torque Converter,IFAT-0840-5BE5-D879,2015-12-28,715.05,EUR,True,True,"WV,Feramborghini,Nord,Mecentley,BMV",True,False,False
Transmission System,Pressure Plate VUN,Generic Pressure Plate,IFAT-996E-7DF4-42FD,2020-10-04,333.77,EUR,False,True,"Feramborghini,Mecentley,BMV,Nord,WV",True,False,False
Transmission System,Drive Shaft MGP,Transfers torque from transmission to wheels.,IFAT-009D-4BF4-20D5,2022-11-25,1173.8,EUR,False,True,Mecentley,True,True,True
Transmission System,Transmission Mount N2T,Generic Transmission Mount,IFAT-6E65-7B9E-B7BE,2018-04-29,593.7,EUR,True,True,Mecentley,True,True,True
Transmission System,Torque Converter AD7,Generic Torque Converter,IFAT-9F05-9CFA-6EF3,2018-11-29,586.62,EUR,False,False,"Feramborghini,BMV,Nord",False,False,True
Transmission System,Gearbox 1HN,Generic Gearbox,IFAT-DEA7-4405-934C,2024-03-16,1339.27,EUR,False,True,"Mecentley,Feramborghini,BMV,Nord,WV",True,True,False
Engine System,Tappets H2G,Link camshaft with pushrods.,IFAT-C944-6095-ECF5,2020-05-11,1822.09,EUR,True,True,"Feramborghini,WV,BMV,Nord,Mecentley",True,True,True
Engine System,Fuel Injectors 0HO,Generic Fuel Injectors,IFAT-7FD9-C251-1414,2020-07-29,1150.86,EUR,True,True,Feramborghini,False,True,True
Engine System,Exhaust Manifold UJ8,Generic Exhaust Manifold,IFAT-57C2-247D-B32F,2018-02-03,1172.23,EUR,True,False,"WV,Mecentley,Nord",False,False,False
Engine System,Camshaft 5FI,Operates the engine’s valves via lobes.,IFAT-6FBF-7514-77EC,2017-03-28,1142.53,EUR,False,True,"BMV,Feramborghini,Nord,WV,Mecentley",False,True,False
Engine System,Intercooler V13,Generic Intercooler,IFAT-4EAD-61ED-CEE6,2022-01-04,1470.56,EUR,True,True,"Nord,Feramborghini,BMV,Mecentley",False,True,False
Engine System,Air Filter ER1,Generic Air Filter,IFAT-A535-30B8-A5F7,2021-04-24,252.18,EUR,True,False,"BMV,Feramborghini,Nord,Mecentley,WV",False,False,True
Engine System,Engine Mounts L7S,Secure engine to frame and absorb vibration.,IFAT-7345-880C-51F7,2018-02-18,1777.31,EUR,True,True,Mecentley,False,False,True
Engine System,Intercooler ZMG,Generic Intercooler,IFAT-B6B4-ED0D-1974,2023-05-22,899.12,EUR,True,True,"BMV,Mecentley,Feramborghini,Nord",True,True,False
Engine System,Supercharger HMD,Boosts engine power via air compression.,IFAT-5292-75FE-F521,2022-11-29,1663.88,EUR,True,False,Nord,False,False,False
Engine System,Valve Springs M9A,Generic Valve Springs,IFAT-903E-8E38-E497,2017-11-13,1436.4,EUR,True,True,"BMV,WV,Feramborghini,Mecentley,Nord",True,True,True
Engine System,Drive Belt M4T,"Drives alternator, AC compressor, etc.",IFAT-E95F-AC84-9E1F,2015-05-11,316.94,EUR,True,True,Nord,False,True,True
Engine System,Tappets / Lifters A1U,Generic Tappets / Lifters,IFAT-BA37-D46F-AE89,2017-10-20,1077.94,EUR,True,True,Mecentley,False,True,True
Engine System,Supercharger DVY,Boosts engine power via air compression.,IFAT-C5E2-A142-C70A,2022-12-04,105.02,EUR,True,False,Nord,True,False,True
Engine System,Cylinder Head 84B,"Sits on top of the engine block, holds valves and spark plugs.",IFAT-32CA-1B93-238B,2016-11-26,602.74,EUR,True,True,"Nord,BMV,Feramborghini,WV,Mecentley",False,False,True
Engine System,Crankshaft 66O,Converts piston movement into rotational motion.,IFAT-5236-ACC6-5456,2022-05-01,471.1,EUR,False,True,"BMV,WV,Feramborghini",False,True,True
Engine System,Pistons MLF,Move up and down in cylinders to compress and combust fuel.,IFAT-BBF4-595F-D89B,2016-10-23,849.18,EUR,True,True,"BMV,Mecentley,Nord",False,True,False
Engine System,Oil Filter 9OL,Removes contaminants from engine oil.,IFAT-96AC-24E8-4A4E,2016-12-25,1150.66,EUR,True,True,"Nord,WV,Feramborghini,Mecentley,BMV",False,False,False
Engine System,Lifters TOT,Transmit camshaft motion to valves.,IFAT-3B2A-03B1-C429,2018-02-21,1241.72,EUR,True,True,Mecentley,True,True,True
Engine System,Oil Cooler 5LP,Generic Oil Cooler,IFAT-B51A-6C94-6ED5,2024-02-08,1315.47,EUR,True,True,"Feramborghini,Nord",True,False,True
Engine System,Pushrods MNY,Generic Pushrods,IFAT-E9C5-A892-3C86,2025-08-19,633.11,EUR,True,True,Nord,True,False,False
Engine System,Oil Pump 8N3,Circulates oil through the engine.,IFAT-F680-1FB4-B5EC,2017-05-04,1769.18,EUR,True,True,"Nord,BMV,Mecentley",True,False,True
Engine System,Timing Belt GZH,Synchronizes rotation of the crankshaft and camshaft.,IFAT-BFF1-AFA5-FD6D,2025-06-13,1554.18,EUR,True,True,"Nord,Feramborghini,WV,BMV",True,False,True
Engine System,Engine Block 215,Main structure housing cylinders and other components.,IFAT-9239-4B56-C15E,2016-08-02,1305.09,EUR,True,False,"Nord,Feramborghini",False,False,True
Engine System,Oil Cooler HL8,Generic Oil Cooler,IFAT-F9CD-C927-8365,2023-12-06,1480.48,EUR,True,True,"Mecentley,BMV",True,True,True
Engine System,Air Filter IV8,Filters air before it enters the engine.,IFAT-5C03-49A3-2440,2022-01-12,1913.13,EUR,True,False,"BMV,Nord,WV",False,False,True
Engine System,Turbocharger / Supercharger 1RW,Generic Turbocharger / Supercharger,IFAT-5C26-EAA4-C330,2024-09-24,284.24,EUR,True,True,"Feramborghini,Mecentley,WV,Nord",True,False,False
Engine System,Cylinder Head 5PK,"Sits on top of the engine block, holds valves and spark plugs.",IFAT-B56F-F191-B185,2025-09-07,443.65,EUR,True,True,"WV,Nord,BMV,Feramborghini",True,True,False
Engine System,Dipstick OP2,Measures oil level.,IFAT-1DDE-03BD-2D32,2018-05-29,1792.48,EUR,True,True,"WV,BMV,Feramborghini,Nord",True,True,False
Engine System,Supercharger JPP,Boosts engine power via air compression.,IFAT-CDEB-437B-B6B4,2018-11-07,791.61,EUR,True,True,"BMV,Feramborghini,Nord,WV,Mecentley",True,True,False
Engine System,Distributor 38X,Distributes spark to the correct cylinder.,IFAT-5ED4-BCE9-AD57,2019-08-09,900.71,EUR,True,True,"Mecentley,BMV",False,True,True
Engine System,Rocker Arms XT1,Generic Rocker Arms,IFAT-C3F4-2246-1F84,2021-09-29,78.44,EUR,False,True,"Mecentley,BMV,Feramborghini",True,True,False
Engine System,Valve Springs NUU,Generic Valve Springs,IFAT-F3E6-BE9D-6ACF,2021-05-26,150.22,EUR,True,True,"Feramborghini,WV,Mecentley",True,True,False
Engine System,Valve Springs QOR,Generic Valve Springs,IFAT-D3FC-3E1B-205E,2025-12-14,881.34,EUR,True,True,"Mecentley,BMV",False,True,True
Engine System,Tappets / Lifters V8W,Generic Tappets / Lifters,IFAT-501A-9B1F-780A,2016-02-15,1922.28,EUR,True,True,"BMV,WV,Mecentley,Nord,Feramborghini",True,True,False
Engine System,Drive Belt AYF,Generic Drive Belt,IFAT-50CD-C279-F2E2,2020-03-06,744.26,EUR,True,False,"Mecentley,WV,Nord,Feramborghini,BMV",True,True,False
Engine System,Oil Pan 74B,Generic Oil Pan,IFAT-D873-66BB-7EE6,2024-03-17,1763.46,EUR,True,True,"BMV,Mecentley,Nord",True,False,True
Engine System,Camshaft EWM,Generic Camshaft,IFAT-24CB-DD3E-1346,2025-03-16,247.46,EUR,True,True,"WV,Feramborghini,Mecentley",False,False,True
Engine System,"Valves (Intake, Exhaust) KR1","Generic Valves (Intake, Exhaust)",IFAT-8854-97E1-021F,2020-06-09,24.35,EUR,True,True,"Feramborghini,Mecentley",True,True,False
Engine System,Engine Block ZCQ,Main structure housing cylinders and other components.,IFAT-130E-7EC6-4EBE,2025-06-05,1585.2,EUR,True,True,"Mecentley,WV,Feramborghini",False,True,True
Engine System,Harmonic Balancer FAX,Generic Harmonic Balancer,IFAT-EAF4-8134-0B85,2021-07-02,1222.27,EUR,True,True,"BMV,WV,Nord",False,True,True
Engine System,Oil Cooler RCL,Cools the engine oil.,IFAT-35BC-C2DD-73E7,2016-07-19,485.42,EUR,True,True,WV,True,True,False
Engine System,Intake Manifold Z6P,Distributes air to the engine cylinders.,IFAT-87EB-ED83-6B7F,2016-08-22,1558.04,EUR,True,True,WV,True,True,False
Engine System,Lifters STK,Transmit camshaft motion to valves.,IFAT-2CE8-A25B-CC32,2019-05-04,665.07,EUR,True,True,"WV,BMV,Mecentley,Feramborghini",False,False,False
Engine System,Cylinder Head MD5,"Sits on top of the engine block, holds valves and spark plugs.",IFAT-7ADD-3067-4F5E,2019-10-11,1129.26,EUR,True,True,"WV,Mecentley,BMV",True,True,True
Engine System,Harmonic Balancer 2CZ,Generic Harmonic Balancer,IFAT-67BE-417B-27C0,2020-03-25,861.24,EUR,False,True,"Nord,Mecentley,Feramborghini",True,True,True
Engine System,Glow Plugs C3R,Preheat air in diesel engines.,IFAT-786B-FAB4-00FF,2016-10-21,1910.0,EUR,True,True,"Nord,WV,Feramborghini",False,True,False
Engine System,Engine Block 52D,Main structure housing cylinders and other components.,IFAT-7040-410A-8198,2020-03-12,1417.73,EUR,True,False,"Mecentley,Feramborghini,WV,Nord,BMV",False,True,False
Engine System,Intake Manifold D8H,Generic Intake Manifold,IFAT-EC2F-6287-F8DA,2025-03-21,1941.44,EUR,True,True,"Mecentley,WV",False,False,False
Engine System,Oil Pump 6VQ,Circulates oil through the engine.,IFAT-09EB-D4BE-F725,2022-12-01,1916.06,EUR,True,True,"WV,Mecentley,BMV",True,False,False
Engine System,Spark Plugs XWM,Ignite air/fuel mixture in combustion chamber.,IFAT-F73A-0200-14EB,2025-05-05,422.69,EUR,True,True,Mecentley,True,False,True
Engine System,Carburetor (older models) Z6Y,Generic Carburetor (older models),IFAT-687D-FC98-FFE2,2025-08-27,1269.13,EUR,True,False,"Mecentley,BMV,Feramborghini",True,True,False
Engine System,Exhaust Manifold T47,Generic Exhaust Manifold,IFAT-A6F4-3F9D-0CE4,2022-08-01,1780.45,EUR,False,True,"WV,BMV",False,True,True
