category,name,description,serial,production_date,price,currency,authorised,in_stock,compatible_brands,recalled,digitallyTracked,used,aftermarket,safetyCritical
Body and Exterior,Trunk / Boot K61,Generic Trunk / Boot,ZCL-DRI-EBGJ-WBH,2015-04-12,1097.75,JPY,True,True,WV,False,True,False,False,True
Body and Exterior,Wiper Arms D37,Generic Wiper Arms,ZCL-BRK-UQMO-GI3,2022-08-26,1289.1,JPY,True,True,"WV,BMV,Feramborghini,Mecentley",True,True,True,True,True
Body and Exterior,Trunk E13,Storage compartment at rear of vehicle.,ZCL-SUS-5CZA-CEH,2020-07-30,554.17,JPY,True,True,Nord,True,True,True,True,True
Body and Exterior,Grille M99,Generic Grille,ZCL-BRK-3IE6-ZEY,2025-02-21,621.95,JPY,True,True,Mecentley,True,True,False,True,True
Body and Exterior,Trunk / Boot W97,Generic Trunk / Boot,ZCL-TRN-182C-1T1,2021-11-24,1627.3,JPY,False,False,"WV,Nord,Feramborghini,Mecentley,BMV",True,False,True,True,False
Body and Exterior,Hood P3,Covers the engine compartment.,ZCL-TRN-QF6W-4F0,2023-08-14,404.56,JPY,True,True,"Nord,Mecentley,WV,BMV",True,True,True,True,True
Body and Exterior,Grille I20,Generic Grille,ZCL-DRI-0VTF-E66,2023-10-10,158.52,JPY,True,True,"BMV,Feramborghini,Nord",False,False,False,True,True
Body and Exterior,Side Mirrors R26,Generic Side Mirrors,ZCL-BRK-NMJ5-0RI,2025-02-18,1010.02,JPY,True,True,Feramborghini,True,False,True,True,False
Body and Exterior,Hood / Bonnet M87,Generic Hood / Bonnet,ZCL-BRK-AYND-F91,2022-05-08,429.28,JPY,True,True,"BMV,Feramborghini,Nord,Mecentley,WV",True,True,True,True,True
Body and Exterior,Hood / Bonnet I94,Generic Hood / Bonnet,ZCL-PERF-Z5DQ-4SN,2024-03-01,561.0,JPY,True,True,Feramborghini,False,True,True,False,False
Body and Exterior,Window Seals Q27,Generic Window Seals,ZCL-ELE-SZJY-ARQ,2025-11-10,709.9,JPY,True,True,"Nord,WV,BMV,Feramborghini",True,True,True,True,True
Body and Exterior,Windshield I8,Generic Windshield,ZCL-DRI-YRRB-O3A,2023-06-15,177.16,JPY,True,True,"Nord,WV",False,True,False,True,False
Body and Exterior,Doors B13,Generic Doors,ZCL-ENG-6N0O-9WG,2025-09-10,343.21,JPY,True,True,WV,False,True,True,True,False
Body and Exterior,Hood G38,Covers the engine compartment.,ZCL-SUS-IP5B-9XY,2015-05-03,658.49,JPY,True,True,"Feramborghini,BMV",True,False,True,True,True
Body and Exterior,Windshield E10,Front glass panel for visibility and protection.,ZCL-PERF-JV3Q-DOH,2016-05-03,333.31,JPY,False,True,"WV,Mecentley,BMV,Nord,Feramborghini",False,True,False,True,False
Body and Exterior,Spoiler A73,Generic Spoiler,ZCL-COL-YNM4-CVD,2020-03-22,1477.38,JPY,True,True,"Feramborghini,BMV",False,False,False,True,False
Body and Exterior,Bumpers M22,Protects car front and rear from impacts.,ZCL-ENG-66XO-ZDI,2018-11-25,707.32,JPY,True,True,"Nord,Feramborghini,WV",True,True,False,True,False
Body and Exterior,License Plate Holder F45,Generic License Plate Holder,ZCL-DRI-IC75-C51,2021-06-02,1224.05,JPY,False,True,"WV,BMV,Mecentley,Feramborghini",True,True,False,False,False
Body and Exterior,Side Mirrors Y83,Allow driver to view rear/side traffic.,ZCL-BRK-NLM5-YOI,2025-06-13,380.56,JPY,True,True,"WV,Feramborghini",True,True,True,True,True
Body and Exterior,Side Mirrors W29,Generic Side Mirrors,ZCL-ENG-MRCM-JMS,2021-08-24,1195.89,JPY,False,True,"Feramborghini,WV",True,True,True,True,True
Body and Exterior,Roof Rack K52,Generic Roof Rack,ZCL-DRI-KSFB-CKI,2019-04-17,1544.73,JPY,False,True,"BMV,Nord",False,True,True,False,True
Body and Exterior,Windshield Washer Pump Y85,Generic Windshield Washer Pump,ZCL-COL-GFQD-WBO,2017-03-13,1927.3,JPY,False,True,"Nord,BMV,Feramborghini,Mecentley,WV",True,True,True,True,False
Body and Exterior,Fenders M23,Generic Fenders,ZCL-BRK-BHAS-SHT,2020-05-20,1248.57,JPY,True,True,"BMV,Nord",False,False,False,False,True
Body and Exterior,Wiper Arms F69,Generic Wiper Arms,ZCL-PERF-VUF3-2RJ,2017-04-30,675.86,JPY,True,True,"Nord,Feramborghini,BMV,WV,Mecentley",True,False,True,True,True
Body and Exterior,Bumpers I27,Protects car front and rear from impacts.,ZCL-ENG-MYYV-WYD,2017-06-24,1226.07,JPY,True,True,BMV,True,False,True,False,True
Body and Exterior,Windshield Washer Pump A19,Generic Windshield Washer Pump,ZCL-ENG-PXFV-696,2021-03-06,830.78,JPY,False,True,"WV,Mecentley,BMV",True,False,True,False,True
Body and Exterior,Antenna I11,Generic Antenna,ZCL-ENG-05ES-68F,2017-09-19,549.91,JPY,True,True,BMV,False,False,False,True,True
Body and Exterior,License Plate Holder R28,Generic License Plate Holder,ZCL-BRK-A3CR-GA8,2025-12-18,216.58,JPY,True,True,"Mecentley,BMV",False,False,True,False,True
