Part,Category,Description
Engine Block,Engine System,Main structure housing cylinders and other components.
Cylinder Head,Engine System,"Sits on top of the engine block, holds valves and spark plugs."
Pistons,Engine System,Move up and down in cylinders to compress and combust fuel.
Crankshaft,Engine System,Converts piston movement into rotational motion.
Camshaft,Engine System,Operates the engine’s valves via lobes.
Timing Belt / Chain,Engine System,Synchronizes rotation of the crankshaft and camshaft.
Spark Plugs,Engine System,Ignite air/fuel mixture in combustion chamber.
Oil Filter,Engine System,Removes contaminants from engine oil.
Air Filter,Engine System,Filters air before it enters the engine.
Fuel Injectors,Fuel System,Spray fuel into the engine's cylinders.
Fuel Tank,Fuel System,Stores fuel used by the vehicle.
Fuel Pump,Fuel System,Delivers fuel from the tank to the engine.
Radiator,Cooling & HVAC System,Dissipates heat from engine coolant.
Thermostat,Cooling & HVAC System,Regulates engine coolant temperature.
Heater Core,Cooling & HVAC System,Heats cabin air using engine coolant.
A/C Compressor,Cooling & HVAC System,Compresses refrigerant for air conditioning.
Battery,Electrical and Ignition,Provides electrical power to start the engine.
Alternator,Electrical and Ignition,Charges the battery and powers electrical systems.
Starter Motor,Electrical and Ignition,Cranks the engine to start it.
Fuse Box,Electrical and Ignition,Houses fuses that protect circuits.
ECU,Electrical and Ignition,Controls various engine and car functions.
Brake Pads,Braking System,Press against rotors to slow down the vehicle.
Brake Rotors,Braking System,Discs that brake pads clamp onto.
Brake Calipers,Braking System,Houses the brake pads and pistons.
Brake Lines,Braking System,Carry brake fluid to braking components.
Shock Absorbers,Suspension and Steering,Dampen spring movement for smoother ride.
Coil Springs,Suspension and Steering,Support vehicle weight and absorb shocks.
Control Arms,Suspension and Steering,Connect wheel hub to vehicle frame.
Tie Rods,Suspension and Steering,Transmit steering input to wheels.
Steering Wheel,Suspension and Steering,Allows driver to steer the vehicle.
Transmission,Transmission System,Transfers power from engine to wheels.
Clutch Plate,Transmission System,Engages and disengages power to transmission.
Gearbox,Transmission System,Changes vehicle speed and torque.
Drive Shaft,Transmission System,Transfers torque from transmission to wheels.
Differential,Transmission System,Distributes engine torque to drive wheels.
Dashboard,Interior Components,Houses instruments and controls in front of driver.
Seats,Interior Components,Provide seating for vehicle occupants.
